Gene,Chr,Pos,. Genotypes
AC192451.3_FG001,5,137851857,3
AC193440.3_FG009,2,46861086,1
AC194022.3_FG013,3,2783168,1
AC194101.3_FG001,3,99477751,1
AC194264.3_FG006,1,205504135,1
AC194341.4_FG004,8,141377757,4
AC194389.3_FG001,1,80182756,3
AC194402.2_FG004,5,14653646,1
AC194425.3_FG005,3,191278916,2
AC194914.3_FG002,1,99538627,3
AC194965.4_FG004,6,127446205,2
AC194970.5_FG001,2,207236998,2
AC194970.5_FG002,2,207227278,3
AC194970.5_FG004,2,207362034,4
AC194970.5_FG005,2,207251440,2
AC194970.5_FG009,2,207266686,4
AC195172.3_FG001,8,4473163,1
AC195331.3_FG008,3,218772103,1
AC195340.3_FG001,5,5433248,3
AC195340.3_FG002,5,5424671,2
AC195340.3_FG004,5,5377953,3
AC195347.4_FG004,5,180877214,4
AC195796.3_FG001,4,162560320,1
AC195860.3_FG005,6,163873541,3
AC195860.3_FG006,6,163869634,3
AC195864.3_FG017,7,167500999,3
AC195874.2_FG002,2,219552682,4
AC196059.3_FG003,9,150711835,3
AC196066.3_FG003,1,248461540,3
AC196090.3_FG006,9,154016477,3
AC196278.2_FG003,4,208486098,3
AC196278.2_FG004,4,208422474,4
AC196417.3_FG008,3,155345489,3
AC196465.3_FG002,8,149888447,4
AC196475.3_FG004,4,32249740,3
AC196475.3_FG005,4,32243074,3
AC196489.3_FG002,2,63944705,1
AC196708.3_FG006,4,237688215,1
AC196779.3_FG003,6,69567780,1
AC196957.3_FG005,1,181633909,1
AC196961.2_FG003,7,148083231,1
AC196978.5_FG002,10,4585633,3
AC197029.3_FG003,7,105508530,4
AC197122.3_FG003,5,15717633,3
AC197146.3_FG001,10,2481798,5
AC197150.3_FG003,3,87781314,5
AC197246.3_FG001,1,192101963,3
AC197246.3_FG003,1,191988000,2
AC197545.3_FG002,1,27406054,1
AC197555.3_FG008,3,227494446,3
AC197578.4_FG001,3,192774540,2
AC197672.3_FG002,10,98136198,1
AC197699.3_FG002,9,17003069,1
AC197699.3_FG003,9,16998992,3
AC197705.4_FG001,8,118165644,5
AC197705.4_FG003,8,118103417,3
AC197705.4_FG006,8,118187085,3
AC197705.4_FG007,8,118191641,3
AC197705.4_FG011,8,118078481,2
AC197717.3_FG002,9,146816296,5
AC198169.4_FG004,5,188389404,1
AC198353.5_FG004,2,188773359,2
AC198366.3_FG004,10,1888335,3
AC198418.3_FG005,1,295108756,2
AC198481.3_FG004,7,170101155,3
AC198490.3_FG003,8,106277390,2
AC198700.2_FG004,2,220646790,2
AC198725.4_FG007,3,217236752,4
AC198901.4_FG004,7,41470237,1
AC199001.3_FG005,8,134903174,1
AC199058.2_FG001,10,19588700,1
AC199067.2_FG004,3,176451553,2
AC199068.2_FG017,2,235330124,2
AC199315.4_FG001,8,138225353,2
AC199363.4_FG003,8,84962418,4
AC199382.3_FG005,10,136340052,1
AC199384.3_FG002,7,76570611,2
AC199492.3_FG001,8,149424453,1
AC199526.5_FG002,3,58903905,5
AC199526.5_FG003,3,58882393,3
AC199765.4_FG008,2,26391395,2
AC199779.3_FG006,4,170806554,3
AC199782.5_FG001,2,194391747,4
AC199782.5_FG003,2,194355749,2
AC199820.4_FG006,2,209930210,4
AC199826.4_FG003,1,215528464,1
AC200057.4_FG007,7,140686732,4
AC200069.4_FG002,10,115937570,3
AC200178.2_FG002,2,93935893,1
AC200210.1_FG006,3,225927328,1
AC200287.4_FG006,6,86044536,2
AC202011.3_FG010,1,206340990,1
AC202073.4_FG001,2,46534522,3
AC202107.3_FG001,10,6529840,2
AC202185.4_FG004,1,122163150,1
AC202435.3_FG001,2,72206934,2
AC202707.3_FG002,4,49941177,1
AC202864.3_FG002,6,160547259,1
AC203173.3_FG004,8,175216162,4
AC203294.3_FG008,8,171170018,4
AC203307.4_FG001,6,157019287,2
AC203366.4_FG001,3,222410199,3
AC203392.3_FG004,8,167085821,2
AC203424.3_FG001,8,110989213,3
AC203535.4_FG001,3,157509144,3
AC203535.4_FG002,3,157575924,3
AC203535.4_FG004,3,157586369,2
AC203535.4_FG006,3,157416965,1
AC203570.4_FG005,10,90220353,4
AC203752.5_FG002,6,96687922,2
AC203754.4_FG008,6,151133482,2
AC203841.3_FG002,10,124184993,3
AC203841.3_FG009,10,124231074,3
AC203909.3_FG007,4,32164278,1
AC203966.5_FG003,1,299609230,4
AC203966.5_FG005,1,299529033,4
AC203972.3_FG001,10,27648088,1
AC203972.3_FG003,10,27715288,1
AC203989.4_FG001,1,176757662,3
AC204007.3_FG008,8,164356922,1
AC204048.3_FG002,5,51429537,1
AC204070.3_FG004,7,36217472,2
AC204254.3_FG001,8,8731077,1
AC204277.3_FG006,8,118529367,2
AC204292.4_FG002,6,137031738,5
AC204292.4_FG006,6,137078764,2
AC204298.3_FG006,5,135288449,1
AC204359.3_FG005,8,171439753,3
AC204530.4_FG003,1,61621349,2
AC204539.4_FG002,2,189554767,2
AC204604.3_FG008,5,200442034,4
AC204711.3_FG002,10,102369804,1
AC204711.3_FG003,10,102318961,3
AC204868.3_FG004,4,186839865,2
AC204891.4_FG001,4,151919340,4
AC205035.3_FG004,6,128776281,2
AC205057.3_FG002,4,84832262,3
AC205122.4_FG003,7,2135320,2
AC205250.3_FG006,8,169137034,1
AC205320.3_FG004,7,6070316,5
AC205326.3_FG002,8,168669911,2
AC205362.4_FG002,6,18156740,4
AC205376.4_FG008,4,79592336,4
AC205419.3_FG001,9,142806886,1
AC205471.4_FG003,8,125181020,1
AC205471.4_FG007,8,125226337,1
AC205500.3_FG002,1,106674418,1
AC205502.4_FG004,1,59467431,4
AC205521.3_FG003,4,69341218,5
AC205574.3_FG006,3,3477157,5
AC205608.4_FG004,2,210530747,4
AC205664.3_FG001,4,61097974,1
AC205673.3_FG006,2,197008295,3
AC205703.4_FG002,5,181002433,4
AC205703.4_FG005,5,181196658,4
AC205703.4_FG006,5,181197390,3
AC205703.4_FG010,5,181207402,4
AC205730.3_FG002,1,166325104,2
AC205982.3_FG014,6,159183455,2
AC206223.3_FG006,9,137337184,5
AC206223.3_FG007,9,137355940,1
AC206223.3_FG010,9,137344445,2
AC206259.3_FG003,1,292661560,2
AC206611.3_FG003,2,145043817,1
AC206788.3_FG008,6,159772247,3
AC206788.3_FG015,6,159890833,4
AC206840.3_FG002,1,57349206,4
AC206941.2_FG002,5,12291521,4
AC206951.3_FG017,1,17527086,1
AC206989.4_FG002,1,196307240,4
AC207225.3_FG003,1,124668363,2
AC207260.3_FG003,6,88817493,1
AC207265.3_FG002,9,14840548,2
AC207309.3_FG007,9,125895968,2
AC207328.3_FG003,4,127209805,1
AC207342.3_FG007,8,136415591,1
AC207347.3_FG005,1,252797911,2
AC207533.2_FG002,2,152198981,3
AC207628.4_FG009,3,202828491,3
AC207652.3_FG001,3,38178377,3
AC207793.3_FG002,3,98604374,1
AC208031.3_FG002,7,129866927,1
AC208110.2_FG006,10,140736440,2
AC208113.3_FG005,1,262998169,1
AC208201.3_FG001,1,45402176,2
AC208201.3_FG002,1,45366536,2
AC208204.3_FG006,1,38637171,4
AC208337.2_FG003,7,10788249,1
AC208346.3_FG004,3,183576903,1
AC208348.3_FG012,5,216695767,4
AC208436.3_FG007,1,45100417,4
AC208440.3_FG003,1,227445799,4
AC208539.3_FG002,5,202931308,3
AC208571.4_FG001,1,50700801,4
AC208711.3_FG005,6,96189821,1
AC208724.3_FG001,4,230217126,2
AC208916.3_FG003,6,150103925,1
AC209206.3_FG011,10,137481572,5
AC209206.3_FG014,10,137458576,3
AC209208.3_FG001,5,193316675,4
AC209208.3_FG002,5,193306688,2
AC209208.3_FG005,5,193240100,3
AC209242.3_FG003,4,232130052,3
AC209257.4_FG006,6,153235681,1
AC209257.4_FG008,6,153242963,2
AC209332.3_FG011,5,21027544,1
AC209356.4_FG001,4,235889150,1
AC209364.3_FG009,3,225759708,2
AC209374.4_FG002,5,196280970,1
AC209460.3_FG002,1,54826816,2
AC209624.2_FG001,2,83188831,2
AC209624.2_FG003,2,83170310,3
AC209626.2_FG013,1,17884610,4
AC209664.3_FG002,9,4652029,4
AC209718.1_FG009,3,5565747,2
AC209739.3_FG003,2,111317106,1
AC209784.3_FG007,3,181108973,4
AC209784.3_FG011,3,180975125,2
AC209819.3_FG012,8,122949412,2
AC209858.4_FG002,1,11391384,1
AC209858.4_FG004,1,11301209,1
AC209877.3_FG002,9,91789980,4
AC209898.2_FG004,5,59719376,2
AC210003.2_FG004,2,4212335,1
AC210013.4_FG002,5,3487412,1
AC210013.4_FG003,5,3481805,2
AC210013.4_FG008,5,3334863,5
AC210013.4_FG009,5,3347390,3
AC210013.4_FG011,5,3393482,5
AC210013.4_FG012,5,3400560,2
AC210013.4_FG013,5,3403413,2
AC210013.4_FG014,5,3410336,1
AC210013.4_FG016,5,3422715,3
AC210013.4_FG018,5,3428048,2
AC210013.4_FG019,5,3431785,2
AC210023.3_FG014,1,263220323,1
AC210169.3_FG002,5,28444605,1
AC210173.4_FG002,1,224091406,3
AC210173.4_FG005,1,224038098,1
AC210193.4_FG002,3,196560820,3
AC210199.4_FG003,9,103186562,2
AC210204.3_FG002,2,164668645,5
AC210314.3_FG006,9,140888874,3
AC210529.3_FG004,3,191374005,2
AC210816.3_FG006,1,156156736,3
AC210848.3_FG004,5,89718813,4
AC211164.5_FG003,2,192347080,1
AC211175.3_FG005,3,199855629,3
AC211192.3_FG003,3,160874725,3
AC211276.4_FG008,5,16416897,4
AC211357.4_FG004,5,212689708,4
AC211390.3_FG001,1,97037200,3
AC211394.4_FG004,9,94250703,4
AC211401.4_FG003,1,271185049,2
AC211403.4_FG005,3,47601507,3
AC211474.3_FG006,8,16748522,2
AC211477.3_FG021,5,2288016,2
AC211652.4_FG002,4,20408220,2
AC211737.3_FG012,5,193157720,1
AC211892.4_FG002,1,294906538,3
AC212112.4_FG002,5,206188359,4
AC212353.4_FG004,9,3476209,4
AC212565.3_FG001,8,16166110,2
AC212570.3_FG006,7,20620228,4
AC212575.3_FG002,8,10657555,1
AC212684.3_FG012,7,172364312,4
AC212835.3_FG001,2,20856250,2
AC212835.3_FG007,2,21007758,3
AC213050.3_FG001,6,94852063,4
AC213099.3_FG001,1,62918145,3
AC213099.3_FG002,1,62889988,4
AC213463.3_FG002,5,13187370,5
AC213463.3_FG004,5,13142509,3
AC213463.3_FG006,5,13045081,2
AC213463.3_FG007,5,13050826,2
AC213463.3_FG009,5,13075901,5
AC213521.3_FG005,1,226217320,3
AC213600.3_FG002,3,44316117,2
AC213621.5_FG002,6,151572207,3
AC213621.5_FG004,6,151580088,4
AC213654.3_FG001,3,187930727,4
AC213654.3_FG003,3,187901837,2
AC213654.3_FG005,3,188021050,2
AC213857.4_FG003,1,187345004,4
AC213884.3_FG001,6,140466040,4
AC213981.3_FG001,1,122885082,2
AC214040.3_FG009,1,36155948,1
AC214119.3_FG009,7,9538612,4
AC214168.3_FG001,2,55678430,1
AC214267.3_FG004,1,239434108,2
AC214350.3_FG007,5,166396746,3
AC214448.3_FG007,3,181790517,3
AC214534.3_FG010,3,162602638,4
AC214602.3_FG012,2,232501053,2
AC214635.3_FG006,4,124478423,2
AC214640.3_FG003,7,145453477,3
AC214648.3_FG003,8,131799568,2
AC214817.3_FG004,6,154320259,3
AC215181.3_FG004,5,10498110,1
AC215198.3_FG002,9,12718628,2
AC215201.3_FG005,6,142083373,4
AC215244.3_FG002,4,193735508,4
AC215260.3_FG001,3,17116159,2
AC215260.3_FG004,3,17034047,4
AC215690.3_FG002,10,106792609,3
AC215907.3_FG003,7,43499943,2
AC216067.3_FG002,4,204347739,3
AC216247.3_FG004,1,63557964,1
AC216247.3_FG005,1,63573945,4
AC216353.2_FG005,5,210593991,1
AC217050.4_FG001,1,214842489,5
AC217050.4_FG004,1,214777536,3
AC217050.4_FG006,1,214899679,2
AC217121.3_FG007,4,79108544,2
AC217241.3_FG004,4,186876214,3
AC217264.3_FG005,1,246031720,4
AC217271.3_FG001,4,187704050,4
AC217271.3_FG002,4,187712732,4
AC217300.3_FG004,1,43398226,3
AC217300.3_FG005,1,43421436,4
AC217358.3_FG003,1,296904553,1
AC217358.3_FG005,1,296892237,3
AC217358.3_FG010,1,296985808,4
AC217358.3_FG011,1,296996608,4
AC217401.3_FG001,1,264851316,2
AC217401.3_FG002,1,264864438,2
AC217401.3_FG003,1,264866317,4
AC217415.3_FG004,2,229983349,4
AC217499.3_FG001,3,221157830,2
AC217499.3_FG003,3,221183389,1
AC217550.3_FG006,5,15724583,1
AC217556.3_FG003,5,37935683,2
AC217560.3_FG001,5,39628441,3
AC217665.3_FG005,4,117407633,3
AC217887.3_FG004,9,121937834,3
AC217887.3_FG005,9,121934614,5
AC217897.3_FG010,1,38548989,4
AC217947.4_FG002,4,71536171,4
AC217965.2_FG012,8,15106454,3
AC217975.3_FG001,7,168592089,1
AC217977.3_FG003,1,220505455,1
AC218035.3_FG004,8,103591763,3
AC218148.2_FG008,6,159380249,3
AC218457.2_FG013,8,15605645,2
AC218900.3_FG001,1,199870433,2
AC218972.3_FG001,8,170605755,4
AC218972.3_FG004,8,170647210,4
AC218972.3_FG007,8,170746197,2
AC218998.2_FG003,4,6107781,4
AC218998.2_FG007,4,6072703,4
AC219006.2_FG006,8,131967644,1
AC219156.3_FG002,8,28476005,2
AC220927.3_FG007,5,208675642,1
AC225127.3_FG003,4,195060850,2
AC225147.4_FG002,1,292880204,3
AC225176.2_FG003,10,122801848,1
AC225185.3_FG004,3,110670295,4
AC225193.3_FG003,9,113056730,2
AC225193.3_FG004,9,113061130,2
AC225205.3_FG003,7,130093149,3
AC225308.2_FG005,7,158605497,2
AC225346.3_FG001,8,128343923,1
AC225555.3_FG005,7,102415122,4
AC226230.2_FG001,7,73439832,1
AC226235.2_FG002,3,30947842,1
AC226235.2_FG003,3,30923244,2
AC226243.1_FG003,1,16332859,2
AC226248.1_FG002,8,103023008,5
AC226368.2_FG006,1,63041109,1
AC226373.2_FG010,6,156416914,3
AC229978.2_FG002,2,176348148,2
AC229993.1_FG009,3,208941531,1
AC230013.2_FG002,3,210672929,4
AC230013.2_FG007,3,210715510,4
AC231180.2_FG001,8,76036518,2
AC231180.2_FG006,8,76129277,2
AC231411.1_FG011,6,165626363,1
AC231745.1_FG003,9,18331162,2
AC231745.1_FG004,9,18240194,4
AC231747.1_FG001,10,108466816,3
AC232238.2_FG004,8,166796498,1
AC232238.2_FG008,8,166714023,3
AC232393.1_FG009,5,215837636,2
AC233850.1_FG001,5,169815165,2
AC233850.1_FG002,5,169818252,4
AC233850.1_FG003,5,169820121,1
AC233850.1_FG005,5,169835310,4
AC233851.1_FG009,3,189459468,2
AC233851.1_FG014,3,189496258,4
AC233861.1_FG001,2,189087822,1
AC233863.1_FG001,9,97982007,4
AC233865.1_FG006,7,146548837,3
AC233866.1_FG006,6,137412770,5
AC233870.1_FG003,6,167034073,4
AC233870.1_FG004,6,167031768,4
AC233870.1_FG006,6,167018725,4
AC233872.1_FG003,3,18219906,4
AC233878.1_FG004,1,272657116,2
AC233883.1_FG006,4,193155631,1
AC233885.1_FG001,5,15956513,4
AC233887.1_FG006,2,55451017,4
AC233892.1_FG001,1,231852755,3
AC233893.1_FG002,9,146258861,1
AC233893.1_FG006,9,146153195,1
AC233894.1_FG005,5,28334788,2
AC233898.1_FG003,10,10446757,3
AC233898.1_FG004,10,10394244,1
AC233899.1_FG002,9,149664987,3
AC233899.1_FG005,9,149651906,1
AC233901.1_FG005,9,152804765,2
AC233901.1_FG010,9,152706679,1
AC233910.1_FG002,2,197823311,2
AC233910.1_FG003,2,197824995,1
AC233910.1_FG008,2,197773526,1
AC233922.1_FG004,4,238059751,4
AC233922.1_FG005,4,238056221,4
AC233922.1_FG008,4,238041382,2
AC233939.1_FG004,9,138945689,1
AC233942.1_FG001,6,137306216,3
AC233949.1_FG004,5,32090568,4
AC233952.1_FG006,2,209491093,3
AC233952.1_FG008,2,209478218,3
AC233953.1_FG005,8,159498188,2
AC233955.1_FG008,9,135276078,5
AC233961.1_FG001,7,20244092,4
AC233966.1_FG001,2,152921382,2
AC233966.1_FG003,2,152924275,1
AC233967.1_FG001,2,54593487,4
AC233979.1_FG006,10,135056339,4
AC233979.1_FG007,10,135130743,3
AC233979.1_FG008,10,135135428,1
AC233979.1_FG009,10,135164420,2
AC233979.1_FG010,10,135172114,2
AC234152.1_FG002,8,102106115,1
AC234152.1_FG005,8,102167308,2
AC234154.1_FG007,7,138729756,3
AC234154.1_FG008,7,138704589,3
AC234156.1_FG005,4,198560099,2
AC234157.1_FG002,1,281107480,2
AC234158.1_FG005,9,112488371,2
AC234159.1_FG002,7,171346708,2
AC234160.1_FG001,8,8137527,2
AC234160.1_FG003,8,8302972,1
AC234160.1_FG004,8,8293483,2
AC234164.1_FG004,9,24974390,2
AC234171.1_FG003,6,122962510,2
AC234175.1_FG010,10,2837355,5
AC234183.1_FG002,6,21001221,1
AC234185.1_FG007,8,72628174,2
AC234203.1_FG004,1,188083558,2
AC234203.1_FG011,1,188072268,2
AC234515.1_FG003,5,83560069,2
AC234520.1_FG005,1,164491736,3
AC234524.1_FG005,9,88448710,4
AC234528.1_FG001,1,204236928,1
AC234528.1_FG004,1,204257733,3
AC234528.1_FG005,1,204259329,4
AC235534.1_FG001,10,136945731,3
AC235534.1_FG007,10,136933528,5
AC235535.1_FG001,8,53547948,2
AC235541.1_FG002,2,69703986,4
AC235543.1_FG003,6,148705979,2
AC235544.1_FG002,9,149551676,1
AC235546.1_FG001,7,19750712,5
AC235547.1_FG005,1,282408400,3
AF466202.2_FG008,10,138594603,3
AF546187.1_FG001,1,161774852,2
AF546187.1_FG007,1,161991233,4
AF546187.1_FG009,1,162081030,1
AF546188.1_FG001,7,18745044,3
AF546188.1_FG002,7,18768905,2
AF546188.1_FG003,7,18778962,2
AF546188.1_FG005,7,18854592,2
AF546188.1_FG006,7,18857113,2
AF546188.1_FG007,7,18866572,2
AY530952.1_FG001,6,108342850,2
AY542798.1_FG003,1,258872979,5
EF517601.1_FG010,3,34497458,3
EF517601.1_FG012,3,34552766,3
EF517601.1_FG015,3,34673335,3
EF517601.1_FG025,3,35026778,2
GRMZM2G000014,4,204852540,4
GRMZM2G000039,2,9014658,3
GRMZM2G000052,2,8997220,3
GRMZM2G000076,3,98140408,3
GRMZM2G000093,2,5685883,5
GRMZM2G000158,6,79915025,3
GRMZM2G000171,5,61696517,3
GRMZM2G000231,9,7312063,3
GRMZM2G000236,9,7308366,4
GRMZM2G000245,10,128566896,4
GRMZM2G000254,6,135352458,1
GRMZM2G000256,8,144234258,2
GRMZM2G000271,10,128527328,1
GRMZM2G000278,5,171688365,5
GRMZM2G000280,5,204209969,3
GRMZM2G000281,7,138098542,1
GRMZM2G000292,8,8822806,4
GRMZM2G000339,10,14498115,4
GRMZM2G000361,7,155593922,2
GRMZM2G000371,9,14554586,1
GRMZM2G000397,2,12130078,4
GRMZM2G000404,7,127724960,2
GRMZM2G000451,7,170248748,4
GRMZM2G000453,7,157875686,1
GRMZM2G000481,4,34337750,4
GRMZM2G000489,8,14934315,2
GRMZM2G000510,4,32475,2
GRMZM2G000531,4,140130,3
GRMZM2G000540,1,238819623,4
GRMZM2G000566,9,101391186,1
GRMZM2G000581,8,160342663,3
GRMZM2G000587,9,1587732,4
GRMZM2G000592,4,39780512,2
GRMZM2G000593,3,216488003,4
GRMZM2G000608,4,201887074,4
GRMZM2G000610,4,175914390,4
GRMZM2G000614,3,201535905,2
GRMZM2G000615,3,191612484,3
GRMZM2G000622,1,268562376,3
GRMZM2G000623,9,1599281,2
GRMZM2G000632,1,47474758,2
GRMZM2G000633,10,144138698,1
GRMZM2G000645,9,20398456,2
GRMZM2G000650,10,144135011,2
GRMZM2G000674,6,111765708,2
GRMZM2G000686,1,15808415,5
GRMZM2G000710,10,95604496,2
GRMZM2G000718,7,168658661,3
GRMZM2G000719,8,148795600,3
GRMZM2G000739,8,145906541,2
GRMZM2G000741,1,15907184,4
GRMZM2G000749,1,12101944,2
GRMZM2G000777,8,89528779,1
GRMZM2G000818,7,176136640,5
GRMZM2G000823,1,12150755,4
GRMZM2G000825,7,176127649,2
GRMZM2G000909,9,24480619,3
GRMZM2G000923,1,60164943,4
GRMZM2G000936,2,226701361,2
GRMZM2G000937,5,68531410,3
GRMZM2G000964,4,234621305,5
GRMZM2G000973,10,133308505,5
GRMZM2G000976,4,234623881,4
GRMZM2G000980,2,71786405,2
GRMZM2G001024,8,35814781,2
GRMZM2G001033,5,182188447,4
GRMZM2G001048,4,14726129,5
GRMZM2G001079,1,44176517,3
GRMZM2G001088,8,162964518,5
GRMZM2G001097,5,182574439,1
GRMZM2G001114,7,82649531,3
GRMZM2G001116,4,2522213,4
GRMZM2G001139,8,155931611,1
GRMZM2G001160,4,2518593,2
GRMZM2G001169,4,2514136,2
GRMZM2G001180,2,229676848,4
GRMZM2G001191,5,39667493,2
GRMZM2G001221,6,159260014,4
GRMZM2G001243,8,136018823,1
GRMZM2G001255,3,225191990,3
GRMZM2G001272,10,8786645,5
GRMZM2G001289,2,8285763,3
GRMZM2G001296,3,225197529,5
GRMZM2G001297,2,216684032,5
GRMZM2G001304,6,159254553,4
GRMZM2G001327,6,136692769,3
GRMZM2G001334,2,8292112,2
GRMZM2G001415,3,229083996,2
GRMZM2G001421,8,26347088,5
GRMZM2G001426,3,69952513,3
GRMZM2G001444,2,229717162,4
GRMZM2G001454,9,50181541,3
GRMZM2G001457,3,229132879,4
GRMZM2G001466,10,8805084,4
GRMZM2G001500,10,21722763,3
GRMZM2G001514,8,69593074,1
GRMZM2G001530,10,77673659,2
GRMZM2G001541,4,199216971,4
GRMZM2G001551,10,77686652,2
GRMZM2G001592,1,236236231,3
GRMZM2G001606,1,236232402,4
GRMZM2G001631,5,19920905,3
GRMZM2G001639,7,141594722,4
GRMZM2G001645,7,133943531,2
GRMZM2G001652,7,94655243,5
GRMZM2G001660,2,184391846,1
GRMZM2G001661,1,297963689,1
GRMZM2G001663,1,35738521,5
GRMZM2G001668,2,169730882,2
GRMZM2G001696,1,35741895,4
GRMZM2G001724,5,19892656,5
GRMZM2G001750,2,181540971,2
GRMZM2G001755,8,56463168,1
GRMZM2G001777,2,230244402,4
GRMZM2G001803,1,198650972,2
GRMZM2G001805,10,109342179,2
GRMZM2G001816,9,77026449,4
GRMZM2G001820,2,203135431,3
GRMZM2G001850,1,233560806,3
GRMZM2G001853,10,109345815,3
GRMZM2G001869,1,274718673,2
GRMZM2G001875,3,6739004,1
GRMZM2G001887,5,27393640,4
GRMZM2G001895,1,98336134,4
GRMZM2G001898,7,13844637,2
GRMZM2G001904,10,9138431,2
GRMZM2G001905,10,148871068,3
GRMZM2G001915,8,39579703,1
GRMZM2G001918,1,39736684,2
GRMZM2G001930,1,98354534,4
GRMZM2G001934,10,148874646,3
GRMZM2G001953,4,182191029,5
GRMZM2G001956,7,13835270,4
GRMZM2G001973,2,186119542,4
GRMZM2G001977,2,186788930,2
GRMZM2G001991,8,73851504,3
GRMZM2G002002,1,20282189,3
GRMZM2G002023,8,165234344,4
GRMZM2G002034,8,73851504,1
GRMZM2G002075,2,186159991,4
GRMZM2G002100,6,74600940,5
GRMZM2G002115,6,21528313,5
GRMZM2G002121,1,1178011,1
GRMZM2G002124,5,216073488,2
GRMZM2G002128,6,148828088,4
GRMZM2G002130,8,90360772,2
GRMZM2G002131,2,186183747,5
GRMZM2G002135,8,159885582,4
GRMZM2G002138,1,158184964,2
GRMZM2G002147,8,159888545,4
GRMZM2G002165,3,188531066,2
GRMZM2G002220,4,197363919,4
GRMZM2G002276,3,179784855,3
GRMZM2G002286,4,197369440,3
GRMZM2G002297,8,148898090,2
GRMZM2G002304,8,159899577,2
GRMZM2G002361,8,129409776,3
GRMZM2G002391,10,63232676,3
GRMZM2G002416,8,37411267,2
GRMZM2G002420,4,223436352,3
GRMZM2G002427,8,129414749,2
GRMZM2G002492,1,23937358,4
GRMZM2G002499,1,264720294,3
GRMZM2G002548,3,210104751,1
GRMZM2G002559,2,8811775,1
GRMZM2G002578,3,225099137,4
GRMZM2G002606,3,225094123,4
GRMZM2G002616,3,132462237,4
GRMZM2G002626,3,174688736,2
GRMZM2G002630,6,31567246,3
GRMZM2G002642,2,26386560,4
GRMZM2G002646,3,225083749,4
GRMZM2G002652,4,210690377,2
GRMZM2G002754,5,13427823,2
GRMZM2G002756,4,82551158,3
GRMZM2G002765,5,2388195,4
