name2	S	ThetaW	ThetaPi	ThetaH	TajD	seqbp
AC185210.3_FG002	8	1.67582	2.04487	2.68245	0.570986	280
AC185213.3_FG003	5	1.04415	1.39163	1.28007	0.759277	120
AC185226.4_FG001	18	3.80672	4.2978	6.00717	0.393217	630
AC185281.5_FG006	2	0.422988	0.594246	NA	0.681697	108
AC185300.4_FG002	5	1.05664	1.48688	0.000414079	0.940124	267
AC185415.3_FG005	3	0.626444	0.608635	4.7949	-0.0549592	275
AC185421.3_FG001	0	0	0	NA	NA	54
AC185422.3_FG005	1	0.208796	0.421422	1.01141	1.26813	38
AC185444.3_FG003	5	1.04811	1.56275	0.273917	1.12454	176
AC185458.4_FG002	2	0.424825	0.711803	1.01141	1.14232	192
AC185460.3_FG004	3	0.634545	0.751074	0.207745	0.359615	205
AC185467.3_FG002	2	0.421732	0.0902036	1.96774	-1.31966	207
AC185471.3_FG005	0	0	0	NA	NA	50
AC185474.3_FG006	11	2.30503	2.78895	5.69679	0.583412	211
AC185478.4_FG005	1	0.211494	0.119048	NA	-0.551362	146
AC185532.4_FG006	5	1.04932	1.31761	0.443774	0.586247	63
AC185611.3_FG001	0	0	0	NA	NA	12
AC185612.3_FG001	5	1.05977	0.555425	3.88244	-1.10205	442
AC185655.3_FG005	7	1.48067	1.63183	1.15637	0.258699	347
AC186011.3_FG010	0	0	0	NA	NA	29
AC186147.3_FG008	3	0.630519	1.03313	1.5069	1.24247	323
AC186166.3_FG008	6	1.27956	2.18659	1.05159	1.73921	130
AC186187.3_FG009	2	0.422988	0.757937	0.765873	1.33327	175
AC186231.4_FG002	24	5.07739	7.00677	0.00702371	1.20222	208
AC186287.7_FG005	9	1.8929	3.19741	1.98916	1.84312	339
AC186299.3_FG004	3	0.656684	0.953141	NA	0.914886	73
AC186302.3_FG013	0	0	0	NA	NA	40
AC186310.4_FG001	5	1.05477	0.903219	0.0993871	-0.331163	159
AC186310.4_FG004	2	0.420291	0.147109	NA	-1.08741	449
AC186319.4_FG002	2	0.421732	0.219703	3.60119	-0.80418	256
AC186337.3_FG004	6	1.2706	1.77276	3.44043	0.962876	339
AC186424.4_FG009	2	0.42161	0.232965	NA	-0.750907	49
AC186433.4_FG002	11	2.30606	2.37263	6.73633	0.0802618	123
AC186500.3_FG001	1	0.212935	0.0322581	NA	-1.07758	153
AC186524.3_FG005	1	0.208796	0.138279	NA	-0.420574	126
AC186577.3_FG006	2	0.455068	0.286957	NA	-0.669172	97
AC186579.3_FG007	11	2.30434	3.57431	1.7022	1.53106	188
AC186585.4_FG002	0	0	0	NA	NA	52
AC186602.4_FG003	4	0.83524	0.743658	NA	-0.233544	129
AC186603.6_FG003	3	0.646502	1.03958	0.110734	1.21307	141
AC186606.4_FG003	3	0.635054	0.89015	NA	0.787243	127
AC186619.3_FG001	1	0.227534	0.495652	NA	1.59909	27
AC186656.4_FG012	12	2.58104	3.06062	0.015735	0.538928	156
AC186661.3_FG003	5	1.04151	1.14408	1.97143	0.224144	177
AC186795.3_FG006	0	0	0	NA	NA	114
AC186897.4_FG016	0	0	0	NA	NA	64
AC187072.4_FG002	1	0.212935	0.0322581	NA	-1.07758	210
AC187080.3_FG006	0	0	0	NA	NA	148
AC187080.3_FG007	10	2.12703	2.69719	NA	0.741627	499
AC187082.3_FG003	0	0	0	NA	NA	8
AC187085.3_FG003	1	0.216029	0.312765	NA	0.576945	362
AC187090.3_FG008	0	0	0	NA	NA	30
AC187098.4_FG011	9	1.90589	1.17368	7.29478	-1.03451	347
AC187154.5_FG003	2	0.420291	0.345122	2.04294	-0.299211	211
AC187157.4_FG001	3	0.629141	0.877824	NA	0.767453	64
AC187157.4_FG002	6	1.26123	2.02848	4.1121	1.47118	99
AC187157.4_FG003	2	0.435387	0.666883	0	0.921476	79
AC187157.4_FG004	3	0.629087	0.81317	0.370436	0.568092	128
AC187157.4_FG005	24	5.0539	5.82193	0.139532	0.47857	610
AC187207.3_FG006	0	0	0	NA	NA	24
AC187262.4_FG007	0	0	0	NA	NA	67
AC187459.3_FG004	0	0	0	NA	NA	66
AC187485.3_FG001	3	0.636055	0.548188	3.00781	-0.271165	89
AC187551.3_FG002	14	2.95112	6.16947	5.48734	3.18618	342
AC187560.5_FG003	1	0.223254	0.183673	NA	-0.236062	35
AC187789.3_FG001	1	0.208796	0.507463	0.507463	1.78128	70
AC187802.3_FG008	0	0	0	NA	NA	218
AC187809.3_FG005	3	0.697383	0.732376	0.00422833	0.10799	130
AC187887.3_FG008	0	0	0	NA	NA	13
AC187899.3_FG002	2	0.418913	0.146057	1.9164	-1.08611	84
AC187910.5_FG002	1	0.223254	0.150204	NA	-0.435678	47
AC188001.3_FG009	1	0.212935	0.0634585	NA	-0.891497	21
AC188023.3_FG005	3	0.666074	0.974896	1.75795	0.953045	69
AC188023.3_FG011	0	0	0	0	NA	75
AC188134.2_FG007	5	1.04957	0.960432	2.19899	-0.194781	47
AC188583.4_FG003	1	0.227534	0.162319	NA	-0.388951	12
AC188710.4_FG006	13	2.7515	3.95674	5.2055	1.26857	880
AC188718.3_FG011	1	0.225329	0.223404	NA	-0.0114768	82
AC188718.3_FG015	1	0.211494	0.396329	NA	1.10238	178
AC188722.3_FG002	0	0	0	NA	NA	71
AC188752.3_FG002	6	1.26928	1.86353	6.49912	1.13945	1016
AC188752.3_FG008	2	0.437326	0.368459	NA	-0.274125	335
AC188756.2_FG001	13	2.75673	1.83017	14.4937	-0.975237	651
AC188759.3_FG005	26	5.46621	7.8612	9.93618	1.3899	556
AC188838.3_FG005	6	1.25891	1.83557	3.0945	1.10573	353
AC188978.3_FG008	1	0.217694	0.0357143	NA	-1.08535	27
AC188981.3_FG003	2	0.418913	0.274263	3.4805	-0.575783	143
AC189060.4_FG007	1	0.2324	0.047619	0.00116144	-1.10205	49
AC189280.3_FG001	0	0	0	0	NA	35
AC189677.4_FG001	6	1.2729	1.89389	1.32792	1.19072	109
AC189750.4_FG004	12	2.57277	4.26554	2.25795	1.90223	308
AC189795.3_FG001	11	2.39544	2.07022	0	-0.392083	109
AC189796.3_FG004	0	0	0	0	NA	47
AC189879.3_FG003	22	4.64754	5.36338	5.47779	0.481591	596
AC190225.2_FG001	9	1.95344	3.30958	NA	1.91605	145
AC190480.1_FG007	16	3.39878	5.31038	0.276878	1.69212	414
AC190498.1_FG007	4	0.861935	1.45338	NA	1.50826	89
AC190550.3_FG003	0	0	0	NA	NA	110
AC190570.3_FG003	0	0	0	NA	NA	1
AC190609.3_FG001	4	0.858391	0.980804	0.00662526	0.312166	285
AC190609.3_FG002	1	0.211494	0.328869	0.0838294	0.700039	44
AC190609.3_FG003	4	0.84472	0.853088	0.180409	0.0213406	185
AC190609.3_FG004	7	1.49102	1.36555	6.60177	-0.214726	370
AC190609.3_FG005	0	0	0	NA	NA	75
AC190613.3_FG001	1	0.216029	0.0344828	NA	-1.08276	277
AC190623.3_FG001	2	0.42587	0.97303	NA	2.17798	120
AC190623.3_FG002	10	2.11725	2.06231	6.97303	-0.0714658	494
AC190628.4_FG007	10	2.10854	2.16359	2.87838	0.0716048	600
AC190630.2_FG001	2	0.415063	0.47619	NA	0.243322	103
AC190632.2_FG004	10	2.10269	2.71481	0.795091	0.796211	78
AC190636.3_FG005	3	0.629263	0.706017	NA	0.236869	245
AC190643.4_FG011	0	0	0	NA	NA	51
AC190688.3_FG006	13	2.74707	3.98328	2.56061	1.30116	274
AC190701.3_FG001	3	0.626444	0.607648	0.0018648	-0.0580059	317
AC190716.3_FG001	1	0.227534	0.162319	NA	-0.388951	97
AC190734.2_FG003	9	2.02018	2.84163	1.28737	1.1606	135
AC190749.3_FG006	0	0	0	NA	NA	89
AC190750.2_FG014	0	0	0	NA	NA	28
AC190772.4_FG011	3	0.625124	0.221284	1.98767	-1.24628	102
AC190788.2_FG006	13	2.76551	4.61605	1.21707	1.94777	464
AC190792.2_FG006	2	0.43714	0.925018	NA	1.94201	110
AC190799.2_FG010	2	0.450788	0.477677	NA	0.107034	171
AC190801.3_FG007	0	0	0	0	NA	182
AC190834.3_FG005	0	0	0	NA	NA	23
AC190838.3_FG004	2	0.415063	0.578468	0.026501	0.65044	175
AC190858.3_FG005	1	0.221297	0.0384615	0.000754148	-1.09045	45
AC190933.3_FG004	1	0.212935	0.372819	NA	0.953564	49
AC190982.3_FG008	17	3.61161	4.74069	4.29581	0.94933	435
AC190990.2_FG005	1	0.223254	0.150204	NA	-0.435678	99
AC190999.2_FG004	47	9.98005	10.7016	16.8556	0.243705	723
AC191009.3_FG004	5	1.04024	1.755	NA	1.56183	80
AC191048.2_FG006	1	0.212935	0.274987	NA	0.370083	71
AC191050.3_FG003	0	0	0	NA	NA	59
AC191067.3_FG005	0	0	0	0	NA	143
AC191069.3_FG004	5	1.06784	1.70264	NA	1.38711	174
AC191070.3_FG006	1	0.211494	0.0907738	0.00446429	-0.71999	155
AC191097.3_FG007	3	0.633676	0.695456	0.0004662	0.190658	187
AC191107.4_FG002	3	0.633226	0.657817	NA	0.0758901	158
AC191113.2_FG002	9	1.90097	2.99456	5.34263	1.54511	456
AC191115.3_FG002	25	5.24865	4.61055	NA	-0.38347	270
AC191116.3_FG001	23	4.84633	6.51303	6.07807	1.07832	625
AC191246.3_FG006	11	2.3049	2.77061	4.14453	0.561445	434
AC191253.3_FG004	2	0.418913	0.616208	0.142001	0.785339	201
AC191254.3_FG001	0	0	0	NA	NA	33
AC191264.3_FG002	0	0	0	NA	NA	121
AC191283.3_FG004	4	0.839569	0.769075	0.0149068	-0.179769	212
AC191285.3_FG001	7	1.4755	2.0379	3.76179	0.962502	114
AC191287.2_FG003	1	0.210116	0.239161	0.0377622	0.173227	100
AC191305.3_FG002	2	0.430629	0.257751	NA	-0.688144	175
AC191387.3_FG006	3	0.631726	0.423279	3.26805	-0.64328	132
AC191387.3_FG008	5	1.04151	0.711851	4.01371	-0.720337	82
AC191387.3_FG009	8	1.70269	1.86486	6.46673	0.250907	275
AC191410.4_FG004	0	0	0	NA	NA	18
AC191418.3_FG006	0	0	0	0	NA	225
AC191427.3_FG003	2	0.433722	0.481743	NA	0.191148	20
AC191521.3_FG004	1	0.211494	0.424107	NA	1.26805	206
AC191534.3_FG003	17	3.5811	3.69844	4.27528	0.098655	349
AC191551.3_FG003	2	0.43337	0.318036	0.0167832	-0.459089	123
AC191555.2_FG002	6	1.26225	1.87001	2.2892	1.16535	296
AC191628.3_FG002	2	0.42587	0.379164	0.0338445	-0.185915	203
AC191650.3_FG003	0	0	0	NA	NA	150
AC191676.3_FG011	9	1.93434	2.45077	0.305858	0.729651	140
AC191687.3_FG005	5	1.05363	1.60377	0.04662	1.20211	245
AC191689.4_FG004	3	0.64992	0.601708	NA	-0.148788	98
AC191707.3_FG002	6	1.25427	2.02447	0.756478	1.47685	294
AC191708.3_FG001	1	0.216029	0.0344828	NA	-1.08276	104
AC191719.3_FG002	5	1.05503	1.83784	0.00198413	1.71054	252
AC191735.3_FG009	4	0.865173	1.24752	NA	0.975025	116
AC191750.3_FG004	17	3.57261	4.99578	4.21387	1.1966	374
AC191771.3_FG008	2	0.415063	0.165631	0.00828157	-0.992867	89
AC191790.3_FG005	1	0.2324	0.135889	0.010453	-0.575604	46
AC191961.3_FG009	1	0.211494	0.03125	1.96875	-1.075	27
AC192244.3_FG001	1	0.217694	0.485714	NA	1.59851	154
AC192244.3_FG007	12	2.53001	3.17204	3.41309	0.721473	183
AC192244.3_FG008	10	2.11556	3.11263	2.5243	1.29693	174
AC192249.3_FG002	5	1.05231	0.508641	1.60749	-1.18799	284
AC192283.3_FG005	28	6.01362	8.07959	2.67796	1.12201	259
AC192361.3_FG003	2	0.420466	0.489401	0.876719	0.274395	110
AC192362.3_FG003	11	2.30232	3.23329	2.02599	1.12236	293
AC192367.2_FG002	2	0.418913	0.221953	0.0228438	-0.784005	116
AC192451.3_FG001	1	0.207531	0.0285714	1.97143	-1.06734	117
AC193324.3_FG002	2	0.420291	0.148459	0.00837549	-1.08203	171
AC193379.3_FG001	3	0.630519	0.0910714	0.000414079	-1.66477	667
AC193475.3_FG008	23	4.81206	5.80816	7.14593	0.644459	579
AC193500.3_FG003	3	0.633676	1.11847	0.448019	1.49611	260
AC193591.3_FG001	5	1.077	1.28891	NA	0.46304	116
AC193598.3_FG002	27	5.69999	8.55053	0.0109745	1.59941	947
AC193606.2_FG001	2	0.442701	0.152139	1.97031	-1.15659	24
AC193606.2_FG005	0	0	0	0	NA	70
AC193625.3_FG010	0	0	0	NA	NA	42
AC193630.3_FG003	3	0.630407	0.553732	NA	-0.236623	236
AC193630.3_FG004	10	2.15353	2.02618	0	-0.16565	248
AC193632.2_FG002	7	1.47603	1.34103	5.51783	-0.231044	468
AC193754.3_FG008	4	0.861613	0.461569	0.01162	-1.02016	394
AC193767.3_FG003	1	0.210116	0.46993	NA	1.54956	262
AC193786.3_FG005	2	0.418913	0.314283	NA	-0.416481	179
AC194005.3_FG004	3	0.626389	0.910448	0.320018	0.876623	157
AC194015.3_FG003	8	1.67593	2.14601	2.97924	0.72731	200
AC194022.3_FG013	1	0.207531	0.159006	NA	-0.289409	68
AC194022.3_FG014	0	0	NA	NA	NA	NA
AC194032.3_FG010	1	0.225329	0.254433	NA	0.17358	142
AC194040.3_FG003	2	0.424561	0.801533	NA	1.50055	69
AC194104.3_FG007	1	0.221297	0.0384615	NA	-1.09045	49
AC194131.3_FG001	3	0.629263	0.151584	1.971	-1.47415	692
AC194214.3_FG002	0	0	0	NA	NA	21
AC194219.3_FG001	5	1.04541	1.66646	2.08564	1.35706	149
AC194242.4_FG001	18	3.77121	5.4971	2.17775	1.38193	372
AC194259.3_FG001	1	0.225329	0.190603	NA	-0.207108	27
AC194264.3_FG006	1	0.207531	0.205383	0.026501	-0.0128124	153
AC194272.3_FG003	7	1.46553	1.75658	NA	0.498107	100
AC194273.3_FG006	0	0	0	NA	NA	44
AC194273.3_FG007	1	0.229885	0.40592	NA	1.04989	101
AC194284.3_FG004	2	0.416328	0.360441	1.28048	-0.222457	39
AC194341.4_FG002	2	0.416328	0.0857265	1.97224	-1.31597	81
AC194341.4_FG003	8	1.68642	2.16255	1.01189	0.736673	432
AC194341.4_FG004	4	0.84748	0.875735	0.134443	0.072051	365
AC194350.3_FG001	5	1.09206	1.11567	NA	0.0515774	182
AC194355.3_FG002	4	0.83524	1.95767	NA	2.86232	177
AC194362.3_FG003	7	1.48037	0.811995	NA	-1.14388	156
AC194363.3_FG005	5	1.05501	0.617759	6.79133	-0.95545	277
AC194365.3_FG002	1	0.211494	0.436508	0.960317	1.34201	141
AC194381.3_FG011	9	1.91601	1.98921	2.70163	0.103431	162
AC194389.3_FG001	4	0.839203	1.0672	5.35203	0.581416	144
AC194395.4_FG002	0	0	0	NA	NA	118
AC194405.3_FG021	25	5.26902	5.92424	12.1858	0.39376	519
AC194409.3_FG005	3	0.633104	1.04975	1.10702	1.28581	154
AC194425.3_FG005	0	0	0	NA	NA	53
AC194439.3_FG002	0	0	0	0	NA	58
AC194457.3_FG001	25	5.3112	6.96415	6.38871	0.993357	387
AC194461.3_FG004	3	0.629029	0.227547	1.67923	-1.239	110
AC194467.3_FG006	11	2.29555	3.29912	5.22627	1.20989	394
AC194587.2_FG001	8	1.7137	1.98596	2.80357	0.421237	169
AC194633.3_FG014	0	0	0	NA	NA	124
AC194671.1_FG004	1	0.207531	0.0285714	0.000414079	-1.06734	91
AC194824.2_FG003	1	0.238005	0.14936	NA	-0.528692	19
AC194828.3_FG004	3	0.636055	0.49016	NA	-0.450243	47
AC194852.3_FG007	5	1.05508	1.41829	0.000496032	0.793659	276
AC194854.3_FG006	8	1.67191	2.28391	1.80963	0.946887	102
AC194865.2_FG004	0	0	0	NA	NA	32
AC194888.3_FG004	0	0	0	NA	NA	152
AC194898.3_FG003	3	0.633226	0.268108	NA	-1.12678	553
AC194914.3_FG002	5	1.06727	1.47373	1.26438	0.888154	165
AC194965.4_FG001	3	0.630407	0.204813	1.79433	-1.31341	404
AC194965.4_FG002	0	0	0	0	NA	132
AC194965.4_FG004	1	0.210116	0.490909	NA	1.67468	90
AC194970.5_FG001	3	0.626389	0.619842	0.14223	-0.0202061	175
AC194970.5_FG002	0	0	0	NA	NA	72
AC194970.5_FG003	11	2.33149	3.26081	8.19986	1.12037	155
AC194970.5_FG004	15	3.20833	3.23708	2.8723	0.0268742	516
AC194970.5_FG005	11	2.34154	4.36038	2.52343	2.43388	248
AC194970.5_FG009	26	5.45011	5.44983	5.92991	-0.000163324	345
AC194972.2_FG001	1	0.208796	0.0579456	NA	-0.899693	231
AC194977.2_FG004	3	0.638874	0.66307	1.52768	0.0746704	126
AC195135.3_FG002	4	0.843586	1.72452	NA	2.24648	76
AC195138.3_FG004	0	0	0	0	NA	19
AC195141.3_FG002	0	0	0	NA	NA	71
AC195147.3_FG001	10	2.1003	2.45868	NA	0.466154	243
AC195154.3_FG004	4	0.83524	0.539079	1.97187	-0.755243	786
AC195161.2_FG002	6	1.3019	0.335288	NA	-1.85346	337
AC195161.2_FG003	0	0	0	NA	NA	1
AC195172.3_FG001	4	0.882553	0.50913	0.000649351	-0.952272	177
AC195235.3_FG003	0	0	0	NA	NA	277
AC195235.3_FG010	6	1.25289	1.81899	1.60983	1.08549	179
AC195320.3_FG003	4	0.958312	0.698024	NA	-0.663763	154
AC195321.3_FG001	0	0	NA	NA	NA	NA
AC195340.3_FG001	8	1.66795	1.87261	1.75305	0.316653	312
AC195340.3_FG002	4	0.847671	1.25267	0.456437	1.03279	146
AC195340.3_FG004	36	7.54412	8.53945	8.21852	0.430284	626
AC195340.3_FG005	4	0.849356	1.58337	1.1914	1.87181	53
AC195347.4_FG004	8	1.68863	2.31413	2.67691	0.967763	389
AC195366.3_FG002	1	0.207531	0.486957	0.730435	1.66653	51
AC195389.3_FG001	0	0	0	NA	NA	47
AC195395.3_FG003	14	2.91974	3.42415	7.3917	0.499365	261
AC195458.3_FG001	4	0.90914	1.58879	2.56191	1.73319	53
AC195484.3_FG003	9	1.89945	2.87548	2.91605	1.37901	610
AC195485.3_FG002	0	0	0	NA	NA	64
AC195587.4_FG002	0	0	NA	NA	NA	NA
AC195587.4_FG004	21	4.46428	5.29448	3.0434	0.581739	842
AC195685.3_FG001	0	0	0	NA	NA	13
AC195785.3_FG004	3	0.627709	0.426212	1.77863	-0.621833	697
AC195794.3_FG002	2	0.461259	0.483812	NA	0.0897728	95
AC195803.2_FG003	8	1.72461	1.65992	0.763998	-0.100092	120
AC195860.3_FG005	1	0.219447	0.201258	1.61006	-0.108481	59
AC195864.3_FG016	4	0.850438	1.14417	0.633547	0.749043	185
AC195864.3_FG017	5	1.04673	1.55956	0.93857	1.12058	401
AC195874.2_FG002	3	0.636606	1.06548	0.667366	1.32354	91
AC195940.2_FG003	4	0.848042	1.16896	2.63124	0.818388	195
AC195957.3_FG003	2	0.42889	0.741243	0.479096	1.24333	50
AC195980.2_FG004	1	0.219447	0.037037	NA	-1.08791	416
AC196006.3_FG007	8	1.68467	1.65662	0.0387175	-0.043399	190
AC196008.1_FG004	1	0.211494	0.47619	NA	1.57868	165
AC196009.2_FG007	4	0.837938	1.41848	3.1331	1.48045	113
AC196025.3_FG009	0	0	0	NA	NA	26
AC196025.3_FG011	1	0.217694	0.0701299	NA	-0.880088	109
AC196025.3_FG012	0	0	0	NA	NA	84
AC196053.3_FG002	3	0.664319	1.06255	0.471583	1.22896	206
AC196059.3_FG003	7	1.49334	2.16284	NA	1.1458	183
AC196066.3_FG004	4	0.835295	0.283809	3.95521	-1.40635	184
AC196090.3_FG003	12	2.51697	3.27632	1.06232	0.853307	240
AC196090.3_FG006	4	0.874338	0.814026	0.044724	-0.153803	478
AC196104.3_FG002	0	0	0	NA	NA	51
AC196106.2_FG001	0	0	0	NA	NA	12
AC196125.3_FG002	3	0.625179	0.962901	1.04474	1.04223	98
AC196161.3_FG002	1	0.212935	0.177684	NA	-0.210244	131
AC196161.3_FG008	3	0.631848	0.153316	1.97581	-1.47678	262
AC196268.3_FG003	3	0.634482	0.542659	0.000496032	-0.283373	120
AC196278.2_FG005	10	2.10122	3.75757	2.66422	2.15448	332
AC196292.3_FG004	0	0	0	0	NA	185
AC196394.3_FG002	5	1.04283	2.07114	0.689209	2.247	112
AC196412.3_FG001	10	2.12976	4.15281	5.71126	2.63147	312
